Register Long Name,Register Short Name,Register Page,Register Address,Bit Field Number,Bit Field Name,Bit Field Reset Value,Bit Field Access,Bit Field Description,Bit Field Enumerations
,FLDS,,0x000F,8..4,Fast Link Down Status,0x0000,RO/LH,"Fast Link Down Status:
1 0000 = Descrambler Loss Sync
0 1000 = RX Errors
0 0100 = MLT3 Errors
0 0010 = SNR Level
0 0001 = Signal/Energy Lost
Status Registers that latch high each time a given Fast Link Down mode is activated and causes a link drop (assuming the modes were enabled)",
,FLDS,,0x000F,3..0,Reserved,0x0000,RO,Reserved,
,PHYSTS,,0x0010,15,Reserved,0x0000,RO,Reserved,
,PHYSTS,,0x0010,14,MDI/MDIX Mode,0x0000,RO,"MDI/MDIX Mode Status:
1 = MDI Pairs swapped (Receive on TD pair, Transmit on RD pair)
0 = MDI Pairs normal (Receive on RD pair, Transmit on TD pair)","0x0001: MDI Pairs swapped (Receive on TD pair, Transmit on RD pair)
0x0000: MDI Pairs normal (Receive on RD pair, Transmit on TD pair)"
,PHYSTS,,0x0010,13,Receive Error Latch,0x0000,RO/LH,"Receive Error Latch:
1 = Receive error event has occurred
0 = No receive error event has occurred
Receive error event has occured since last read of RECR register (address 0x0015). This bit will be cleared upon a read of the RECR register.","0x0001: Receive error event has occurred
0x0000: No receive error event has occurred"
,PHYSTS,,0x0010,12,Polarity Status,0x0000,RO/LH,"Polarity Status:
1 = Inverted Polarity detected
0 = Correct Polarity detected
This bit is a duplication of bit[4] in the 10BTSCR register (address
0x001A).  This  bit  will  be  cleared  upon  a  read  of  the  10BTSCR
register, but not upon a read of the PHYSTS register.","0x0001: Inverted Polarity detected
0x0000: Correct Polarity detected"
,PHYSTS,,0x0010,11,False Carrier Sense Latch,0x0000,RO/LH,"False Carrier Sense Latch:
1 = False Carrier event has occurred
0 = No False Carrier event has occurred
False Carrier event has occurred since last read of FCSCR register (address 0x0014). This bit will be cleared upon a read of the FCSR register.","0x0001: False Carrier event has occurred
0x0000: No False Carrier event has occurred"
,PHYSTS,,0x0010,10,Signal Detect,0x0000,RO/LL,"Signal Detect:
Active high 100Base-TX unconditional Signal Detect indication from
PMD
Note: During EEE_LPI the value of this register bit should be ignored",
,PHYSTS,,0x0010,9,Descrambler Lock,0x0000,RO/LL,"Descrambler Lock:
Active high 100Base-TX Descrambler Lock indication from PMD
Note: During EEE_LPI the value of this register bit should be ignored",
,PHYSTS,,0x0010,8,Page Received,0x0000,RO,"Link Code Word Page Received:
1 = A new Link Code Word Page has been received
0 = Link Code Word Page has not been received
This bit is a duplicate of Page Received (bit[1]) in the ANER register and it is cleared on read of the ANER register (address 0x0006).","0x0001: A new Link Code Word Page has been received
0x0000: Link Code Word Page has not been received"
,PHYSTS,,0x0010,7,MII Interrupt,0x0000,RO/LH,"MII Interrupt Pending:
1 = Indicates that an internal interrupt is pending
0 = No interrupt pending
Interrupt source can be determined by reading the MISR register
(0x0012). Reading the MISR will clear this interrupt bit indication.","0x0001: Indicates that an internal interrupt is pending
0x0000: No interrupt pending"
,PHYSTS,,0x0010,6,Remote Fault,0x0000,RO,"Remote Fault:
1 = Remote Fault condition detected
0 = No Remote Fault condition detected
Fault criteria: notification from link partner of Remote Fault via Auto- Negotiation. Cleared on read of BMSR register (address 0x0001) or by reset.","0x0001: Remote Fault condition detected
0x0000: No Remote Fault condition detected"
,PHYSTS,,0x0010,5,Jabber Detect,0x0000,RO,"Jabber Detection:
1 = Jabber condition detected
0 = No Jabber This bit is only for 10 Mbps operation.
This bit is a duplicate of the Jabber Detect bit in the BMSR register (address 0x0001) and will not be cleared upon a read of the PHYSTS register.","0x0001: Jabber condition detected
0x0000: No Jabber This bit is only for 10 Mbps operation."
,PHYSTS,,0x0010,4,Auto-Negotiation Status,0x0000,RO,"Auto-Negotiation Status:
1 = Auto-Negotiation complete
0 = Auto-Negotiation not complete","0x0001: Auto-Negotiation complete
0x0000: Auto-Negotiation not complete"
,PHYSTS,,0x0010,3,MII Loopback Status,0x0000,RO,"MII Loopback Status:
1 = Loopback enabled
0 = Normal operation","0x0001: Loopback enabled
0x0000: Normal operation"
,PHYSTS,,0x0010,2,Duplex Status,0x0000,RO,"Duplex Status:
1 = Full-Duplex mode
0 = Half-Duplex mode","0x0001: Full-Duplex mode
0x0000: Half-Duplex mode"
,PHYSTS,,0x0010,1,Speed Status,0x0000,RO,"Speed Status:
1 = 10 Mbps mode
0 = 100 Mbps mode","0x0001: 10 Mbps mode
0x0000: 100 Mbps mode"
,PHYSTS,,0x0010,0,Link Status,0x0000,RO,"Link Status:
1 = Valid link established (for either 10 Mbps or 100 Mbps)
0 = No link established
This bit is duplicated from the Link Status bit in the BMSR register (address 0x0001) and will not be cleared upon a read of the PHYSTS register.","0x0001: Valid link established (for either 10 Mbps or 100 Mbps)
0x0000: No link established"
,PHYSCR,,0x0011,15,Disable PLL,0x0000,RW,"Disable PLL:
1 = Disable internal clocks circuitry
0 = Normal operation
Note: clock circuitry can be disabled only in IEEE power down mode.","0x0001: Disable internal clocks circuitry
0x0000: Normal operation"
,PHYSCR,,0x0011,14,Power Save Mode Enable,0x0000,RW,"Power Save Mode Enable:
1 = Enable power save modes
0 = Normal operation","0x0001: Enable power save modes
0x0000: Normal operation"
,PHYSCR,,0x0011,13..12,Power Save Modes : Power Mode : <00> ,0x0000,RW,"Power Saving Modes Selection Field:
Power Save Mode Enable (bit[14]) must be set to '1' for power save modes to be enabled. Power Mode: <00> Normal, Normal operation Mode, PHY is fully fuctional;; <01> Reserved, Reserved;<10> Active Sleep,Low Power Active Energy Saving mode that shuts down all internal circuitry besides SMI and energy detect functionalities. In this mode the PHY sends NLP every 1.4 seconds to wake up link partner. Automatic power-up is done when link partner is detected; <11>, Passive Sleep, Low Power Passive Energy Saving mode that shuts down all internal circuitry besides SMI and energy detect functionalities. Automatic power-up is done when link partner is detected.",
,PHYSCR,,0x0011,11,Scrambler Bypass,0x0000,RW,"Scrambler Bypass:
1 = Scrambler bypass enabled
0 = Scrambler bypass disabled","0x0001: Scrambler bypass enabled
0x0000: Scrambler bypass disabled"
,PHYSCR,,0x0011,10,Reserved,0x0000,RW,Reserved,
,PHYSCR,,0x0011,9..8,Loopback FIFO Depth,0x0001,RW,"Far-End Loopback FIFO Depth:
00 = 4 nibbles FIFO
01 = 5 nibbles FIFO
10 = 6 nibbles FIFO
11 = 8 nibbles FIFO
This FIFO is used to adjust RX (receive) clock rate to TX clock rate. FIFO depth needs to be set based on expected maximum packet size and clock accuracy. Default value sets to 5 nibbles.","0x0000: 4 nibbles FIFO
0x0001: 5 nibbles FIFO
0x0002: 6 nibbles FIFO
0x0003: 8 nibbles FIFO"
,PHYSCR,,0x0011,7..5,Reserved,0x0000,RO,Reserved,
,PHYSCR,,0x0011,4,COL Full-Duplex Enable,0x0000,RW,"Collision in Full-Duplex Mode:
1 = Enable Collision generation signaling in Full-Duplex mode
0 = Disable Collision in Full-Duplex mode
Note: When in Half-Duplex mode, Collision will always be active.","0x0001: Enable Collision generation signaling in Full-Duplex mode
0x0000: Disable Collision in Full-Duplex mode"
,PHYSCR,,0x0011,3,Interrupt Polarity,0x0001,RW,"Interrupt Polarity:
1 = Normal operation is 1 logic and during interrupt is 0 logic
0 = Normal operation is 0 logic and during interrupt is 1 logic","0x0001: Normal operation is 1 logic and during interrupt is 0 logic
0x0000: Normal operation is 0 logic and during interrupt is 1 logic"
,PHYSCR,,0x0011,2,Test Interrupt,0x0000,RW,"Test Interrupt:
1 = Generate an interrupt
0 = Do not generate interrupt
Forces the PHY to generate an interrupt to facilitate interrupt testing. Interrupts will continue to be generated as long as this bit remains set.","0x0001: Generate an interrupt
0x0000: Do not generate interrupt"
,PHYSCR,,0x0011,1,Interrupt Enable,0x0000,RW,"Interrupt Enable:
1 = Enable event based interrupts
0 = Disable event based interrupts
Enable interrupt dependent on the event enables in the MISR register
(address 0x0012).","0x0001: Enable event based interrupts
0x0000: Disable event based interrupts"
,PHYSCR,,0x0011,0,Interrupt Output Enable,0x0000,RW,"Interrupt Output Enable:
1 = INT/PWDN_N is an interrupt output
0 = INT/PWDN_N is a Power Down pin
Enable  active  low  interrupt  events  via  the  INT/PWDN_N  pin  by configuring the INT/PWDN_N pin as an output.","0x0001: INT/PWDN_N is an interrupt output
0x0000: INT/PWDN_N is a Power Down pin"
,MISR1,,0x0012,15,Link Quality Interrupt,0x0000,RO/LH,"Change of Link Quality Status Interrupt:
1 = Change of link quality when link is ON
0 = Link quality is Good","0x0001: Change of link quality when link is ON
0x0000: Link quality is Good"
,MISR1,,0x0012,14,Energy Detect Interrupt,0x0000,RO/LH,"Change of Energy Detection Status Interrupt:
1 = Change of energy detected
0 = No change of energy detected","0x0001: Change of energy detected
0x0000: No change of energy detected"
,MISR1,,0x0012,13,Link Status Changed Interrupt,0x0000,RO/LH,"Change of Link Status Interrupt:
1 = Change of link status interrupt is pending
0 = No change of link status","0x0001: Change of link status interrupt is pending
0x0000: No change of link status"
,MISR1,,0x0012,12,Speed Changed Interrupt,0x0000,RO/LH,"Change of Speed Status Interrupt:
1 = Change of speed status interrupt is pending
0 = No change of speed status","0x0001: Change of speed status interrupt is pending
0x0000: No change of speed status"
,MISR1,,0x0012,11,"Duplex Mode Changed
Interrupt",0x0000,RO/LH,"Change of Duplex Status Interrupt:
1 = Change of duplex status interrupt is pending
0 = No change of duplex status","0x0001: Change of duplex status interrupt is pending
0x0000: No change of duplex status"
,MISR1,,0x0012,10,"Auto-Negotiation Completed
Interrupt",0x0000,RO/LH,"Auto-Negotiation Complete Interrupt:
1 = Auto-Negotiation complete interrupt is pending
0 = No Auto-Negotiation complete event is pending","0x0001: Auto-Negotiation complete interrupt is pending
0x0000: No Auto-Negotiation complete event is pending"
,MISR1,,0x0012,9,"False Carrier Counter Half-Full
Interrupt",0x0000,RO/LH,"False Carrier Counter Half-Full Interrupt:
1 = False Carrier HF interrupt is pending
0 = False Carrier HF event is not pending
False Carrier counter (Register FCSCR, address 0x0014) exceeds half-full interrupt is pending.","0x0001: False Carrier HF interrupt is pending
0x0000: False Carrier HF event is not pending"
,MISR1,,0x0012,8,"Receive Error Counter Half-Full
Interrupt",0x0000,RO/LH,"Receiver Error Counter Half-Full Interrupt:
1 = Receive Error HF interrupt is pending
0 = Receive Error HF event is not pending
Receiver Error counter (Register RECR, address 0x0015) exceeds half-full interrupt is pending.","0x0001: Receive Error HF interrupt is pending
0x0000: Receive Error HF event is not pending"
,MISR1,,0x0012,7,Link Quality Interrupt Enable,0x0000,RW,Enable interrupt on change of link quality,
,MISR1,,0x0012,6,Energy Detect Interrupt Enable,0x0000,RW,Enable interrupt on change of energy detection,
,MISR1,,0x0012,5,Link Status Changed Enable,0x0000,RW,Enable interrupt on change of link status,
,MISR1,,0x0012,4,"Speed Changed Interrupt
Enable",0x0000,RW,Enable Interrupt on change of speed status,
,MISR1,,0x0012,3,"Duplex Mode Changed
Interrupt Enable",0x0000,RW,Enable Interrupt on change of duplex status,
,MISR1,,0x0012,2,"Auto-Negotiation Completed
Enable",0x0000,RW,Enable Interrupt on Auto-negotiation complete event,
,MISR1,,0x0012,1,False Carrier HF Enable,0x0000,RW,Enable Interrupt on False Carrier Counter Register half-full event,
,MISR1,,0x0012,0,Receive Error HF Enable,0x0000,RW,Enable Interrupt on Receive Error Counter Register half-full event,
,MISR2,,0x0013,15,EEE Error Interrupt,0x0000,RO/LH,"Energy Efficient Ethernet Error Interrupt:
1 = EEE error has occurred
0 = EEE error has not occurred","0x0001: EEE error has occurred
0x0000: EEE error has not occurred"
,MISR2,,0x0013,14,Auto-Negotiation Error Interrupt,0x0000,RO/LH,"Auto-Negotiation Error Interrupt:
1 = Auto-Negotiation error interrupt is pending
0 = No Auto-Negotiation error event pending","0x0001: Auto-Negotiation error interrupt is pending
0x0000: No Auto-Negotiation error event pending"
,MISR2,,0x0013,13,Page Received Interrupt,0x0000,RO/LH,"Page Receiver Interrupt:
1 = Page has been received
0 = Page has not been received","0x0001: Page has been received
0x0000: Page has not been received"
,MISR2,,0x0013,12,"Loopback FIFO OF/UF Event
Interrupt",0x0000,RO/LH,"Loopback FIFO Overflow/Underflow Event Interrupt:
1 = FIFO Overflow/Underflow event interrupt pending
0 = No FIFO Overflow/Underflow event pending","0x0001: FIFO Overflow/Underflow event interrupt pending
0x0000: No FIFO Overflow/Underflow event pending"
,MISR2,,0x0013,11,"MDI Crossover Change
Interrupt",0x0000,RO/LH,"MDI/MDIX Crossover Status Change Interrupt:
1 = MDI crossover status changed interrupt is pending
0 = MDI crossover status has not changed","0x0001: MDI crossover status changed interrupt is pending
0x0000: MDI crossover status has not changed"
,MISR2,,0x0013,10,Sleep Mode Interrupt,0x0000,RO/LH,"Sleep Mode Event Interrupt:
1 = Sleep mode event interrupt is pending
0 = No Sleep mode event pending","0x0001: Sleep mode event interrupt is pending
0x0000: No Sleep mode event pending"
,MISR2,,0x0013,9,Polarity Changed Interrupt / WoL Packet Received Interrupt,0x0000,RO/LH,"Polarity Change Interrupt / WoL Packet Received Interrupt:
1 = Data polarity interrupt pending / WoL packet was recieved
0 = No Data polarity pending / No WoL packet received","0x0001: Data polarity interrupt pending / WoL packet was recieved
0x0000: No Data polarity pending / No WoL packet received"
,MISR2,,0x0013,8,Jabber Detect Interrupt,0x0000,RO/LH,"Jabber Detect Event Interrupt:
1 = Jabber detect event interrupt pending
0 = No Jabber detect event pending","0x0001: Jabber detect event interrupt pending
0x0000: No Jabber detect event pending"
,MISR2,,0x0013,7,EEE Error Interrupt Enable,0x0000,RW,Enable interrupt on EEE Error,
,MISR2,,0x0013,6,"Auto-Negotiation Error Interrupt
Enable",0x0000,RW,Enable Interrupt on Auto-Negotiation error event,
,MISR2,,0x0013,5,"Page Received Interrupt
Enable",0x0000,RW,Enable Interrupt on page receive event,
,MISR2,,0x0013,4,Loopback FIFO OF/UF Enable,0x0000,RW,Enable Interrupt on loopback FIFO Overflow/Underflow event,
,MISR2,,0x0013,3,MDI Crossover Change Enable,0x0000,RW,Enable Interrupt on change of MDI/X status,
,MISR2,,0x0013,2,Sleep Mode Event Enable,0x0000,RW,Enable Interrupt on sleep mode event,
,MISR2,,0x0013,1,"Polarity Changed / WoL Packet
Enable",0x0000,RW,Enable Interrupt on change of polarity status,
,MISR2,,0x0013,0,Jabber Detect Enable,0x0000,RW,Enable Interrupt on Jabber detection event,
,FCSCR,,0x0014,15..8,Reserved,0x0000,RO,Reserved,
,FCSCR,,0x0014,7..0,False Carrier Event Counter,0x0000,RO/COR,"False Carrier Event Counter:
This 8-bit counter increments on every false carrier event. This counter stops when it reaches its maximum count (FFh). When the counter exceeds half-full (7Fh), an interrupt event is generated. This register is cleared on read.",
,RECR,,0x0015,15..0,Receive Error Counter,0x0000,RO/COR,"RX_ER Counter:
When a valid carrier is presented (only while RXDV is set), and there is at least one occurrence of an invalid data symbol, this 16-bit counter increments for each receive error detected. The RX_ER counter does not count in MII loopback mode. The counter stops
when it reaches its maximum count (FFh). When the counter exceeds half-full (7Fh), an interrupt is generated. This register is cleared on read.",
,BISCR,,0x0016,15,Reserved,0x0000,RO,Reserved,
,BISCR,,0x0016,14,BIST Error Counter Mode,0x0000,RW,"BIST Error Counter Mode:
1 = Continuous mode
0 = Single mode
Continuous  mode,  when  the  BIST  Error  counter  reaches  its  max value, a pulse is generated and the counter starts counting from zero again. When in Single mode, if the BIST Error Counter reaches its max value, PRBS checker will stop counting.","0x0001: Continuous mode
0x0000: Single mode"
,BISCR,,0x0016,13,PRBS Checker,0x0000,RW,"PRBS Checker:
1 = PRBS Checker Enabled
0 = PRBS Checker Disabled
When PRBS checker  is  enabled, DP83822 will  check  PRBS data received.","0x0001: PRBS Checker Enabled
0x0000: PRBS Checker Disabled"
,BISCR,,0x0016,12,Packet Generation Enable,0x0000,RW,"Packet Generation Enable:
1 = Enable packet generator with PRBS data
0 = Disable packet generator","0x0001: Enable packet generator with PRBS data
0x0000: Disable packet generator"
,BISCR,,0x0016,11,PRBS Checker Lock/Sync,0x0000,RO,"PRBS Checker Lock/Sync Indication:
1 = PRBS checker is locked and synced on received bit stream
0 = PRBS checker is not locked","0x0001: PRBS checker is locked and synced on received bit stream
0x0000: PRBS checker is not locked"
,BISCR,,0x0016,10,PRBS Checker Sync Loss,0x0000,RO/LH,"PRBS Checker Sync Loss Indication:
1 = PRBS checker has lost sync
0 = PRBS checker has not lost sync","0x0001: PRBS checker has lost sync
0x0000: PRBS checker has not lost sync"
,BISCR,,0x0016,9,Packet Generator Status,0x0000,RO,"Packet Generation Status Indication:
1 = Packet Generator is active and generating packets
0 = Packet Generator is off","0x0001: Packet Generator is active and generating packets
0x0000: Packet Generator is off"
,BISCR,,0x0016,8,Power Mode,0x0001,RO,"Sleep Mode Indication:
1 = Indicates that the PHY is in normal power mode
0 = Indicates that the PHY is in one of the sleep modes","0x0001: Indicates that the PHY is in normal power mode
0x0000: Indicates that the PHY is in one of the sleep modes"
,BISCR,,0x0016,7,Reserved,0x0000,RO,Reserved,
,BISCR,,0x0016,6,Transmit in MII Loopback,0x0000,RW,"Transmit Data in MII Loopback Mode (valid only at 100 Mbps):
1 = Enable transmission
0 = Disable transmission
When enabled, data received from the MAC on the TX pins will be routed to the MDI in parallel to the MII loopback (to RX pins). This bit may be set only in MII Loopback mode - setting bit[14] in in BMCR register (address 0x0000). When disabled, data from the MAC is not transmitted to the MDI.","0x0001: Enable transmission
0x0000: Disable transmission"
,BISCR,,0x0016,5,Reserved,0x0000,RO,Reserved,
,BISCR,,0x0016,4..0,Loopback Mode,0x0000,RW,"Loopback Mode Select:
The PHY provides several options for loopback that test and verify various functional blocks within the PHY. Enabling loopback mode allows in-circuit testing of the DP83822 digital and analog data paths
Near-end Loopback
00001 = PCS Input Loopback
00010 = PCS Output Loopback
00100 = Digital Loopback
01000 = Analog Loopback (requires 100-? termination)
Far-end Loopback
10000 = Reverse Loopback","0x0001: PCS Input Loopback
0x0002: PCS Output Loopback
0x0004: Digital Loopback
0x0008: Analog Loopback (requires 100-? termination)
0x0010: Reverse Loopback"
,RCSR,,0x0017,15..13,Reserved,0x0000,RO,Reserved,
,RCSR,,0x0017,12,RGMII RX Clock Shift,0x0000,RW,"RGMII RX Clock Shift:
1 = Receive path internal clock shift is enabled
0 = Receive path internal clock shift is disabled
When enabled, receive path internal clock (RX_CLK) is delayed by
3.5ns relative to recieve data. When disabled, data and clock are in align mode.","0x0001: Receive path internal clock shift is enabled
0x0000: Receive path internal clock shift is disabled"
,RCSR,,0x0017,11,RGMII TX Clock Shift,0x0000,RW,"RGMII TX Clock Shift:
1 = Transmit path internal clock shift is disabled
0 = Transmit path internal clock shift is enabled
When enabled, transmit path internal clock (TX_CLK) is delayed by
3.5ns relative to transmit data.","0x0001: Transmit path internal clock shift is disabled
0x0000: Transmit path internal clock shift is enabled"
,RCSR,,0x0017,10,RGMII TX Synced,0x0000,RW,"RGMII TX Clock Sync:
1 = PHY and MAC share same clock reference
0 = PHY operates from same or independent clock source as MAC
This mode, when enabled, reduces latency since both MAC and PHY are synchronized to the same clock source. This mode can also be used when enabling the PHY Clock Output by connecting the MAC to the PHY Output Clock.","0x0001: PHY and MAC share same clock reference
0x0000: PHY operates from same or independent clock source as MAC"
,RCSR,,0x0017,9,RGMII Mode,0x0000,RW/Strap,"RGMII Mode Enable:
1 = Enable RGMII mode of operation
0 = Mode determined by bit[5]","0x0001: Enable RGMII mode of operation
0x0000: Mode determined by bit[5]"
,RCSR,,0x0017,8,RMII TX Clock Shift,0x0000,RW,"RMII TX Clock Shift:
1 = Transmit path internal clock shift is enabled
0 = Transmit path internal clock shift is disabled","0x0001: Transmit path internal clock shift is enabled
0x0000: Transmit path internal clock shift is disabled"
,RCSR,,0x0017,7,RMII Clock Select,0x0000,RW/Strap,"RMII Reference Clock Select:
Strap XI_50 determines the clock reference requirement.
1 = 50-MHz clock reference, CMOS-level oscillator
0 = 25-MHz clock reference, crystal or CMOS-level oscillator","0x0001: 50-MHz clock reference, CMOS-level oscillator
0x0000: 25-MHz clock reference, crystal or CMOS-level oscillator"
,RCSR,,0x0017,6,"RMII Recovered Clock Async
FIFO Bypass",0x0000,RW,"RMII Recovered Clock Async FIFO Bypass:
0 = Bypass Asynchronous FIFO
1 = Normal operation
When in RMII Recovered Clock mode, the asynchronous FIFO can be bypassed to reduce the receive path latency within the DP83822.
50-MHz clock is outputted on RX_CLK when in Async fifo bypass","0x0000: Bypass Asynchronous FIFO
0x0001: Normal operation"
,RCSR,,0x0017,5,RMII Mode,0x0000,RW,"RMII Mode Enable:
1 = Enable RMII mode of operation
0 = Enable MII mode of operation","0x0001: Enable RMII mode of operation
0x0000: Enable MII mode of operation"
,RCSR,,0x0017,4,RMII Revision Select,0x0000,RW,"RMII Revision Select:
1 = RMII revision 1.0
0 = RMII revision 1.2
RMII revision 1.0, CRS_DV will remain asserted until final data is transferred. CRS_DV will not toggle at the end of a packet.
RMII revision  1.2,  CRS_DV will  toggle at  the  end  of  a  packet to indicate de-assertion of CRS.","0x0001: RMII revision 1.0
0x0000: RMII revision 1.2"
,RCSR,,0x0017,3,RMII Overflow Status,0x0000,RO/COR,"RX FIFO Overflow Status:
1 = Overflow detected
0 = Normal","0x0001: Overflow detected
0x0000: Normal"
,RCSR,,0x0017,2,RMII Underflow Status,0x0000,RO/COR,"RX FIFO Underflow Status:
1 = Underflow detected
0 = Normal","0x0001: Underflow detected
0x0000: Normal"
,RCSR,,0x0017,1..0,Receive Elasticity Buffer Size,0x0001,RW,"Receive Elasticity Buffer Size:
This field controls the Receive Elasticity Buffer which allows for frequency variation tolerance between the 50-MHz RMII clock and the recovered data. The following values indicate the tolerance in bits for
a single packet. The minimum setting allows for standard Ethernet frame sizes at ±50ppm accuracy. For greater frequency tolerance, the packet lengths may be scaled (for ±100ppm), divide the packet
lengths by 2).
00 = 14 bit tolerance (up to 16800 byte packets)
01 = 2 bit tolerance (up to 2400 byte packets)
10 = 6 bit tolerance (up to 7200 byte packets)
11 = 10 bit tolerance (up to 12000 byte packets)","0x0000: 14 bit tolerance (up to 16800 byte packets)
0x0001: 2 bit tolerance (up to 2400 byte packets)
0x0002: 6 bit tolerance (up to 7200 byte packets)
0x0003: 10 bit tolerance (up to 12000 byte packets)"
,LEDCR,,0x0018,15..11,Reserved,0x0000,RO,Reserved,
,LEDCR,,0x0018,10..9,Blink Rate,0x0002,RW,"LED_0 Blinking Rate (ON/OFF duration):
00 = 20Hz (50 ms)
01 = 10Hz (100 ms)
10 = 5Hz (200 ms)
11 = 2Hz (500 ms)","0x0000: 20Hz (50 ms)
0x0001: 10Hz (100 ms)
0x0002: 5Hz (200 ms)
0x0003: 2Hz (500 ms)"
,LEDCR,,0x0018,8,Reserved,0x0000,RW,Reserved,
,LEDCR,,0x0018,7,LED_0 Polarity,0x0000,RW/Strap,"LED_0 Link Polarity Setting:
1 = Active High polarity setting
0 = Active Low polarity setting
LED_0 polarity defined by strapping value of this pin. This register allows for override of this strap value.","0x0001: Active High polarity setting
0x0000: Active Low polarity setting"
,LEDCR,,0x0018,6..5,Reserved,0x0000,RW,Reserved,
,LEDCR,,0x0018,4,Drive LED_0,0x0000,RW,"Drive Link LED_0 Select:
1 = Drive value of ON/OFF bit[1] onto LED_0 output pin
0 = Normal operation","0x0001: Drive value of ON/OFF bit[1] onto LED_0 output pin
0x0000: Normal operation"
,LEDCR,,0x0018,3..2,Reserved,0x0000,RW,Reserved,
,LEDCR,,0x0018,1,LED_0 ON/OFF Setting,0x0000,RW,Value to force LED_0 output,
,LEDCR,,0x0018,0,Reserved,0x0000,RW,Reserved,
,PHYCR,,0x0019,15,Auto MDI/X Enable,0x0000,RW/Strap,"Auto-MDIX Enable:
1 = Enable Auto-Negotiation Auto-MDIX capability
0 = Disable Auto-Negotiation Auto-MDIX capability","0x0001: Enable Auto-Negotiation Auto-MDIX capability
0x0000: Disable Auto-Negotiation Auto-MDIX capability"
,PHYCR,,0x0019,14,Force MDI/X,0x0000,RW,"Force MDIX:
1 = Force MDI pairs to cross (MDIX)
0 = Normal operation (MDI)
When Force MDI/X is enabled, receive data is on the TD pair and transmit data is on the RD pair. When disabled, receive data is on the RD pair and transmit data is on the TD pair.","0x0001: Force MDI pairs to cross (MDIX)
0x0000: Normal operation (MDI)"
,PHYCR,,0x0019,13,Pause RX Status,0x0000,RO,"Pause Receive Negotiation Status:
Indicates that pause receive should be enabled in the MAC. Based on bits[11:10] in ANAR register and bits[11:10] in ANLPAR register settings. The function shall be enabled according to IEEE 802.3
Annex 28B Table 28B-3, ""Pause Resolution"", only if the Auto- Negotiation highest common denominator is a Full-Duplex technology.",
,PHYCR,,0x0019,12,Pause TX Status,0x0000,RO,"Pause Transmit Negotiated Status:
Indicates that pause should be enabled in the MAC. Based on bits[11:10] in ANAR register and bits[11:10] in ANLPAR register settings. This function shall be enabled according to IEEE 802.3
Annex 28B Table 28B-3, ""Pause Resolution"", only if the Auto- Negotiation highest common denominator is a Full-Duplex technology.",
,PHYCR,,0x0019,11,MII Link Status,0x0000,RO,"MII Link Status:
1 = 100Base-TX Full-Duplex link is active
0 = No active 100Base-TX Full-Duplex link","0x0001: 100Base-TX Full-Duplex link is active
0x0000: No active 100Base-TX Full-Duplex link"
,PHYCR,,0x0019,10..8,Reserved,0x0000,RO,Reserved,
,PHYCR,,0x0019,7,Bypass LED Stretching,0x0000,RW,"Bypass LED Stretching:
1 = Bypass LED stretching
0 = Normal LED operation
Set this bit to '1' to bypass the LED stretching, the LED reflects the internal value.","0x0001: Bypass LED stretching
0x0000: Normal LED operation"
,PHYCR,,0x0019,6,Reserved,0x0000,RW,,
,PHYCR,,0x0019,5,LED Configuration,0x0001,RW/Strap,"Configuration 1.) LED Config = 1 LED_0 --> 'on' for Link, 'off' for no link 2.) LED Config = 0 LED_0--> 'on' for Link 'BLINK'for TX/RX activity",
,PHYCR,,0x0019,4..0,PHY Address,0x0001,RO/Strap,"PHY Address:
Strapping configuration for PHY Address",
,10BTSCR,,0x001A,15..14,Reserved,0x0000,RO,Reserved,
,10BTSCR,,0x001A,13,Receiver Threshold Enable,0x0000,RW,"Lower Receiver Threshold Enable:
1 = Enable 10Base-Te lower receiver threshold
0 = Normal 10Base-Te operation
When enabled, receiver threshold is lowered to allow for operation with longer cables.","0x0001: Enable 10Base-Te lower receiver threshold
0x0000: Normal 10Base-Te operation"
,10BTSCR,,0x001A,12..9,Squelch,0x0000,RW,"Squelch Configuration:
Used to set the Peak Squelch 'ON' threshold for the 10Base-Te receiver. Starting from 200mV to 600mV, step size of 50mV with some overlapping as shown below:
0000 = 200mV
0001 = 250mV
0010 = 300mV
0011 = 350mV
0100 = 400mV
0101 = 450mV
0110 = 500mV
0111 = 550mV
1000 = 600mV","0x0000: 200mV
0x0001: 250mV
0x0002: 300mV
0x0003: 350mV
0x0004: 400mV
0x0005: 450mV
0x0006: 500mV
0x0007: 550mV
0x0008: 600mV"
,10BTSCR,,0x001A,8,Reserved,0x0000,RW,Reserved,
,10BTSCR,,0x001A,7,NLP Disable,0x0000,RW,"NLP Transmission Control:
1 = Disable transmission of NLPs
0 = Enable transmission of NLPs","0x0001: Disable transmission of NLPs
0x0000: Enable transmission of NLPs"
,10BTSCR,,0x001A,6..5,Reserved,0x0000,RO,Reserved,
,10BTSCR,,0x001A,4,Polarity Status,0x0000,RO,"Polarity Status:
1 = Inverted Polarity detected
0 = Correct Polarity detected
This bit is a duplication of bit[12] in the PHYSTS register (0x0010). Both bits will be cleared upon a read of 10BTSCR register, but not upon a read of the PHYSTS register.","0x0001: Inverted Polarity detected
0x0000: Correct Polarity detected"
,10BTSCR,,0x001A,3..1,Reserved,0x0000,RO,Reserved,
